[[0, 0], [0, 0], [0, 0], [1, 2], [0, 0], [1, 1], [0, 2], [0, 0], [6, 8], [4, 7], [1, 1], [1, 3], [2, 4]]
[[0, 0], [0, 0], [0, 2], [3, 3], [0, 0], [1, 1], [6, 7], [0, 0], [3, 9], [3, 8], [1, 1], [0, 2], [3, 5]]
[[0, 0], [2, 2], [0, 0], [2, 2], [0, 0], [0, 1], [7, 10], [1, 1], [2, 4], [2, 7], [1, 1], [3, 3], [2, 3]]
[[1, 2], [0, 3], [0, 2], [6, 12], [1, 1], [2, 4], [4, 13], [0, 1], [3, 9], [7, 18], [0, 2], [6, 10], [6, 13]]
[[0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 2], [0, 0], [0, 1], [0, 1]]
[[0, 1], [0, 1], [1, 1], [2, 4], [0, 0], [1, 2], [3, 8], [1, 1], [1, 3], [5, 11], [0, 1], [5, 5], [1, 2]]
[[2, 2], [1, 7], [3, 10], [9, 13], [1, 1], [5, 8], [8, 16], [3, 3], [5, 21], [13, 39], [1, 1], [8, 14], [15, 23]]
[[0, 0], [0, 0], [0, 1], [1, 1], [0, 0], [0, 1], [0, 3], [0, 0], [0, 1], [1, 5], [0, 0], [1, 2], [1, 4]]
[[2, 8], [6, 9], [2, 4], [6, 9], [0, 0], [2, 3], [16, 21], [1, 1], [5, 10], [17, 32], [2, 2], [13, 22], [6, 11]]
[[3, 7], [5, 8], [5, 7], [11, 18], [2, 2], [6, 11], [26, 39], [4, 5], [15, 32], [36, 72], [3, 3], [19, 32], [15, 30]]
[[0, 1], [0, 1], [0, 1], [2, 2], [0, 0], [1, 1], [0, 1], [0, 0], [0, 2], [0, 3], [0, 0], [2, 2], [1, 2]]
[[2, 3], [2, 2], [0, 3], [4, 10], [1, 1], [0, 5], [6, 14], [1, 2], [9, 22], [13, 32], [0, 2], [7, 14], [5, 6]]
[[2, 4], [2, 5], [1, 3], [7, 13], [1, 1], [1, 2], [8, 23], [3, 4], [5, 11], [15, 30], [1, 2], [1, 6], [5, 10]]
[[0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 2], [0, 0], [0, 0], [0, 0]]
[[1, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [1, 2], [2, 3], [0, 0], [0, 0], [0, 1]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 2], [0, 1], [0, 0], [0, 0], [0, 1]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 1], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[1, 1], [1, 1], [0, 0], [0, 0], [0, 0], [0, 0], [1, 2], [0, 0], [1, 3], [3, 4], [0, 0], [3, 4], [0, 1]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [1, 2], [2, 2], [0, 0], [0, 0], [0, 0], [2, 3], [0, 0], [2, 4], [3, 4], [0, 0], [2, 3], [0, 2]]
[[2, 2], [1, 3], [1, 1], [1, 1], [0, 0], [0, 0], [1, 4], [0, 0], [1, 4], [5, 10], [0, 0], [3, 8], [1, 3]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [1, 1], [0, 0], [0, 0], [1, 4], [0, 0], [1, 3], [5, 8], [0, 0], [1, 2], [1, 2]]
[[0, 0], [1, 1], [1, 1], [0, 0], [0, 0], [0, 0], [1, 1], [0, 0], [2, 2], [2, 3], [0, 0], [1, 2], [0, 0]]
[[1, 2], [0, 1], [1, 3], [2, 4], [2, 2], [0, 1], [4, 8], [0, 0], [2, 7], [4, 8], [2, 2], [1, 3], [1, 3]]
[[1, 1], [0, 0], [4, 4], [0, 1], [0, 0], [3, 5], [7, 8], [2, 2], [2, 4], [2, 8], [2, 2], [2, 2], [3, 5]]
[[2, 3], [0, 4], [0, 0], [3, 3], [0, 1], [1, 2], [4, 10], [0, 0], [1, 1], [3, 6], [3, 3], [5, 7], [2, 6]]
[[2, 4], [1, 1], [0, 3], [3, 6], [0, 0], [3, 5], [1, 4], [2, 2], [4, 6], [3, 12], [0, 0], [3, 7], [6, 10]]
[[0, 2], [0, 0], [1, 1], [0, 0], [0, 0], [0, 1], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [1, 1], [0, 0]]
[[1, 1], [2, 5], [1, 2], [2, 5], [1, 1], [4, 8], [7, 17], [1, 2], [3, 5], [7, 14], [3, 3], [5, 14], [3, 11]]
[[4, 8], [1, 8], [6, 10], [3, 4], [1, 1], [10, 17], [12, 24], [2, 4], [7, 10], [15, 27], [6, 8], [7, 11], [14, 22]]
[[0, 0], [0, 2], [0, 0], [0, 2], [0, 0], [1, 2], [2, 4], [0, 0], [1, 2], [1, 3], [0, 0], [3, 8], [2, 7]]
[[5, 7], [2, 4], [0, 1], [2, 6], [0, 0], [2, 5], [3, 10], [1, 2], [4, 8], [7, 11], [2, 4], [8, 10], [4, 6]]
[[4, 8], [6, 8], [3, 6], [9, 12], [0, 0], [7, 14], [12, 27], [2, 3], [4, 11], [16, 32], [4, 5], [12, 17], [23, 29]]
